feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
IER5	0.25548192858695984	2.416961995121163	0.5054522027617294
LAPTM4B	0.25530555844306946	1.1171149940326297	0.5052777056976626
PCNT	0.2549932301044464	2.0908682022058187	0.5049685519955336
SNX15	0.2544699013233185	0.6170788193228601	0.5044501093613112
ITGA1	0.2542842626571655	1.0862125434067058	0.5042660699187188
NUAK2	0.25423967838287354	1.6938317945633812	0.5042218618935741
IL18R1	0.25415703654289246	1.4568293112333708	0.5041399055684512
BRCA2	0.25396081805229187	1.3034873291907183	0.5039452454237506
ZNF484	0.2537177503108978	1.2224475196723281	0.5037040228362929
ITPKB-AS1	0.25345665216445923	1.4033201843842693	0.5034447880987335
CAVIN2	0.2531558573246002	2.8527707309101733	0.5031459683376288
PMCH	0.2531372606754303	0.32949109098577867	0.5031274776726937
LINC01891	0.2529396712779999	0.7039781023830289	0.5029310824921844
NGRN	0.2528740167617798	1.1285340410311104	0.5028658131368414
PRKX	0.25279930233955383	3.5973485534675276	0.5027915159307964
MCF2L2	0.2527683675289154	0.9957991652904342	0.5027607588890144
IRF1	0.25269627571105957	4.7166934223467365	0.5026890509234543
SPSB2	0.2526933550834656	2.0756434259286785	0.5026861384035317
SAC3D1	0.252325177192688	1.4611996191899894	0.5023197998505612
DDX47	0.25220027565956116	1.197041445650817	0.5021954467645092
CHPT1	0.25208884477615356	2.344043998425948	0.5020845107234481
ARRDC5	0.2516630291938782	1.4531334304033112	0.5016602734638891
POLR2J3	0.251606285572052	4.039594354300664	0.5016037176717479
ZNF585A	0.25158143043518066	1.2207995709103185	0.501578949831091
TCEAL9	0.25119268894195557	0.9586521347135419	0.5011912663693742
KRTCAP3	0.2511276602745056	1.185085437820789	0.5011264038332282
RIPK2	0.25099605321884155	2.5491860648224636	0.5009950695410096
ABHD16A	0.2505754232406616	0.842218317690937	0.5005750804955547
SYT5	0.25057151913642883	0.8077787136894533	0.5005711782323151
ZNF331	0.2501447796821594	3.6913256316349425	0.5001447534172476
DUOX1	0.25000980496406555	1.3516089939066276	0.5000097979165541
FCRL1	0.24981272220611572	0.7520186347865511	0.49981268411971275
FAM43A	0.24963848292827606	0.9895027350077684	0.49963835431831505
GPR160	0.2494574636220932	1.7604368724128752	0.4994571725375542
SAP30	0.24914656579494476	1.251811251215551	0.4991458320491936
NAIP	0.24863740801811218	2.112190855417215	0.4986355536926565
IFNG-AS1	0.24858824908733368	1.046754986276115	0.49858624979226457
TSPAN15	0.24851089715957642	0.9382028164648918	0.4985086759205674
NIBAN3	0.24848860502243042	0.8234412110628296	0.4984863063790695
NPIPB4	0.24837875366210938	1.0364642470960872	0.4983761111644947
CLU	0.24835868179798126	2.9271324749650627	0.4983559841060232
KRT73	0.24835607409477234	0.7442614714761346	0.49835335536620307
CA2	0.24830055236816406	1.2999519197648512	0.498297657962448
C14orf119	0.2481556534767151	2.614592450560281	0.49815224317751855
GTF2H2	0.24813906848430634	2.437915505577321	0.4981355976212166
ZFP36	0.2481161504983902	5.084180019824441	0.4981125840918677
FBXL8	0.248108372092247	1.8774784668652034	0.4981047727865665
MCC	0.247756689786911	1.242979587723012	0.4977516294765299
LCN2	0.24750277400016785	0.9687538483818828	0.49749650073221996
PERP	0.2472054660320282	1.9343292475660185	0.4971976134180729
GPR174	0.24707898497581482	1.101202639583427	0.49707039657046126
C12orf60	0.2470235526561737	1.236826706035384	0.49701464333718554
CEACAM21	0.24697573482990265	1.8452709592393532	0.49696654015992875
LINC02273	0.24689003825187683	3.1260043839385228	0.496880304117799
SH3PXD2A	0.2461780160665512	1.1933233235530927	0.49616329927393515
ELOVL4	0.24598942697048187	0.7703769893824369	0.495973209849869
TUBB4B	0.24582265317440033	3.1894765781716825	0.4958050483652449
CCZ1B	0.24570123851299286	1.9649825235436247	0.4956825913427691
SOCS3	0.24534259736537933	4.1900084402369355	0.49532070421169644
ZP3	0.24532270431518555	0.9564387548243862	0.49530061507374923
IL2	0.24526865780353546	0.6337433129377749	0.49524605599806115
PTGDS	0.2452680915594101	1.5780507274742783	0.4952454798737909
CARD8-AS1	0.24522526562213898	1.763178720899012	0.49520224669739515
MTFP1	0.2451217770576477	3.143899819403316	0.49509774397410866
HDAC9	0.24505554139614105	0.9202757806042602	0.49503084797294916
LRP1	0.2449728101491928	1.2141832723014656	0.4949472876289559
ZNF107	0.2444707602262497	2.2114305315803295	0.494439847199826
GADD45A	0.2442759871482849	2.8709746845837296	0.49424284929761947
