dataset_id	repeat	split_seed	method	roc_auc	pr_auc	brier
SLE_GSE285773_CD4	17	20260817	Frozen Geneformer	0.8625	0.9312300923713968	0.177049274384878
SLE_GSE285773_CD4	17	20260817	Mean-HVG pseudobulk	0.8	0.8986834750002319	0.2020770136246196
SLE_GSE285773_CD4	17	20260817	PCA pseudobulk	0.84375	0.9221195144724555	0.2236232394744406
SLE_GSE285773_CD4	18	20260818	Frozen Geneformer	0.83125	0.9151360148802604	0.1971721954531965
SLE_GSE285773_CD4	18	20260818	Mean-HVG pseudobulk	0.88125	0.9348146645021644	0.1706309208846726
SLE_GSE285773_CD4	18	20260818	PCA pseudobulk	0.90625	0.9537319862155388	0.1597259092251352
SLE_GSE285773_CD4	19	20260819	Frozen Geneformer	0.91875	0.960930735930736	0.1579854569013895
SLE_GSE285773_CD4	19	20260819	Mean-HVG pseudobulk	0.89375	0.9500624854684956	0.1520573719387601
SLE_GSE285773_CD4	19	20260819	PCA pseudobulk	0.89375	0.946744227994228	0.1938743636571005
SLE_GSE285773_CD4	20	20260820	Frozen Geneformer	0.83125	0.9157057044785878	0.2198647457436041
SLE_GSE285773_CD4	20	20260820	Mean-HVG pseudobulk	0.8812500000000001	0.9366695724819294	0.1637014277627902
SLE_GSE285773_CD4	20	20260820	PCA pseudobulk	0.90625	0.9534406565656566	0.1786647448213996
