variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
clr_composition	pure_wave_4	size_label_matched	19	19	20260819	66	25	0.8682926829268294
clr_composition	pure_wave_4	size_label_matched	20	20	20260820	66	25	0.9365853658536585
clr_plus_log_cells	dominant_wave_4	observed	0	1	20260801	89	46	0.839737108190091
clr_plus_log_cells	dominant_wave_4	observed	0	2	20260802	89	46	0.8993933265925177
clr_plus_log_cells	dominant_wave_4	observed	0	3	20260803	89	46	0.8640040444893833
clr_plus_log_cells	dominant_wave_4	observed	0	4	20260804	89	46	0.8680485338725985
clr_plus_log_cells	dominant_wave_4	observed	0	5	20260805	89	46	0.8832153690596563
clr_plus_log_cells	dominant_wave_4	observed	0	6	20260806	89	46	0.8731041456016179
clr_plus_log_cells	dominant_wave_4	observed	0	7	20260807	89	46	0.8756319514661274
clr_plus_log_cells	dominant_wave_4	observed	0	8	20260808	89	46	0.8913043478260869
clr_plus_log_cells	dominant_wave_4	observed	0	9	20260809	89	46	0.8928210313447927
clr_plus_log_cells	dominant_wave_4	observed	0	10	20260810	89	46	0.8801820020222447
clr_plus_log_cells	dominant_wave_4	observed	0	11	20260811	89	46	0.8902932254802831
clr_plus_log_cells	dominant_wave_4	observed	0	12	20260812	89	46	0.8741152679474217
clr_plus_log_cells	dominant_wave_4	observed	0	13	20260813	89	46	0.8958543983822043
clr_plus_log_cells	dominant_wave_4	observed	0	14	20260814	89	46	0.8822042467138522
clr_plus_log_cells	dominant_wave_4	observed	0	15	20260815	89	46	0.8796764408493428
clr_plus_log_cells	dominant_wave_4	observed	0	16	20260816	89	46	0.8918099089989889
clr_plus_log_cells	dominant_wave_4	observed	0	17	20260817	89	46	0.878665318503539
clr_plus_log_cells	dominant_wave_4	observed	0	18	20260818	89	46	0.8741152679474217
clr_plus_log_cells	dominant_wave_4	observed	0	19	20260819	89	46	0.8958543983822043
clr_plus_log_cells	dominant_wave_4	observed	0	20	20260820	89	46	0.890798786653185
clr_plus_log_cells	dominant_wave_4	size_label_matched	1	1	20260801	89	46	0.9383215369059656
clr_plus_log_cells	dominant_wave_4	size_label_matched	2	2	20260802	89	46	0.9196157735085946
clr_plus_log_cells	dominant_wave_4	size_label_matched	3	3	20260803	89	46	0.9368048533872599
clr_plus_log_cells	dominant_wave_4	size_label_matched	4	4	20260804	89	46	0.9074823053589484
clr_plus_log_cells	dominant_wave_4	size_label_matched	5	5	20260805	89	46	0.8761375126390294
clr_plus_log_cells	dominant_wave_4	size_label_matched	6	6	20260806	89	46	0.916076845298281
clr_plus_log_cells	dominant_wave_4	size_label_matched	7	7	20260807	89	46	0.9206268958543984
clr_plus_log_cells	dominant_wave_4	size_label_matched	8	8	20260808	89	46	0.9115267947421637
clr_plus_log_cells	dominant_wave_4	size_label_matched	9	9	20260809	89	46	0.8938321536905965
clr_plus_log_cells	dominant_wave_4	size_label_matched	10	10	20260810	89	46	0.9282103134479271
clr_plus_log_cells	dominant_wave_4	size_label_matched	11	11	20260811	89	46	0.9327603640040445
clr_plus_log_cells	dominant_wave_4	size_label_matched	12	12	20260812	89	46	0.9049544994944388
clr_plus_log_cells	dominant_wave_4	size_label_matched	13	13	20260813	89	46	0.8281092012133467
clr_plus_log_cells	dominant_wave_4	size_label_matched	14	14	20260814	89	46	0.9327603640040445
clr_plus_log_cells	dominant_wave_4	size_label_matched	15	15	20260815	89	46	0.9312436804853387
clr_plus_log_cells	dominant_wave_4	size_label_matched	16	16	20260816	89	46	0.8811931243680485
clr_plus_log_cells	dominant_wave_4	size_label_matched	17	17	20260817	89	46	0.955005055611729
clr_plus_log_cells	dominant_wave_4	size_label_matched	18	18	20260818	89	46	0.8680485338725986
clr_plus_log_cells	dominant_wave_4	size_label_matched	19	19	20260819	89	46	0.9302325581395349
clr_plus_log_cells	dominant_wave_4	size_label_matched	20	20	20260820	89	46	0.8402426693629929
clr_plus_log_cells	pure_wave_4	observed	0	1	20260801	66	25	0.8517073170731707
clr_plus_log_cells	pure_wave_4	observed	0	2	20260802	66	25	0.8936585365853659
clr_plus_log_cells	pure_wave_4	observed	0	3	20260803	66	25	0.911219512195122
clr_plus_log_cells	pure_wave_4	observed	0	4	20260804	66	25	0.8341463414634147
clr_plus_log_cells	pure_wave_4	observed	0	5	20260805	66	25	0.8478048780487805
clr_plus_log_cells	pure_wave_4	observed	0	6	20260806	66	25	0.8926829268292683
clr_plus_log_cells	pure_wave_4	observed	0	7	20260807	66	25	0.8419512195121951
clr_plus_log_cells	pure_wave_4	observed	0	8	20260808	66	25	0.8848780487804878
clr_plus_log_cells	pure_wave_4	observed	0	9	20260809	66	25	0.8702439024390244
clr_plus_log_cells	pure_wave_4	observed	0	10	20260810	66	25	0.8653658536585366
clr_plus_log_cells	pure_wave_4	observed	0	11	20260811	66	25	0.8682926829268293
clr_plus_log_cells	pure_wave_4	observed	0	12	20260812	66	25	0.8839024390243904
clr_plus_log_cells	pure_wave_4	observed	0	13	20260813	66	25	0.8107317073170732
clr_plus_log_cells	pure_wave_4	observed	0	14	20260814	66	25	0.8341463414634147
clr_plus_log_cells	pure_wave_4	observed	0	15	20260815	66	25	0.8546341463414634
clr_plus_log_cells	pure_wave_4	observed	0	16	20260816	66	25	0.8839024390243903
clr_plus_log_cells	pure_wave_4	observed	0	17	20260817	66	25	0.8409756097560976
clr_plus_log_cells	pure_wave_4	observed	0	18	20260818	66	25	0.8790243902439024
clr_plus_log_cells	pure_wave_4	observed	0	19	20260819	66	25	0.8165853658536586
clr_plus_log_cells	pure_wave_4	observed	0	20	20260820	66	25	0.8673170731707318
