dim,mean,var,zero_frac
51,-0.0046196845,0.0011011655,0.0
52,-0.12071952,0.0010883543,0.0
53,0.045470964,0.00043401722,0.0
54,-0.055968553,0.00024108292,0.0
55,0.04185369,0.00031335658,0.0
56,-0.073710054,0.00071707845,0.0
57,-0.06830287,0.0011300646,0.0
58,-0.1565097,0.0005854743,0.0
59,-0.0010443087,0.0004523047,0.0
60,0.1219273,0.00044428316,0.0
61,-0.00929147,0.00046771587,0.0
62,-0.07320341,0.0005868211,0.0
63,-0.11698701,0.0004406722,0.0
64,0.11253455,0.0010884267,0.0
65,-0.007313598,0.0003821452,0.0
66,-0.12218591,0.00045541202,0.0
67,0.051451642,0.00044873403,0.0
68,-0.100403905,0.00045340287,0.0
69,-0.17104353,0.0006480622,0.0
70,-0.0024421702,0.00065933954,0.0
71,0.05676393,0.0012762094,0.0
72,-0.031072734,0.00123312,0.0
73,-0.10865565,0.0011726427,0.0
74,-0.1305827,0.00017920799,0.0
75,-0.13751101,0.0002883333,0.0
76,-0.06244104,0.0008620665,0.0
77,-0.18496108,0.0008716277,0.0
78,0.059085853,0.00078562676,0.0
79,0.1727874,0.0005160245,0.0
80,-0.042419262,0.00096566085,0.0
81,-0.13487503,0.0008639079,0.0
82,0.11396172,0.00033858008,0.0
83,-0.038235173,0.00053253706,3.5536350132550586e-06
84,0.07365159,0.00043256,0.0
85,0.006170731,0.0011044393,0.0
86,-0.16154604,0.0007500384,0.0
87,0.11677003,0.00059613725,0.0
88,-0.03507486,0.00080621784,0.0
89,0.17340668,0.0007064448,0.0
90,0.070348725,0.00036119058,0.0
91,0.15584454,0.00050712825,0.0
92,-0.0888785,0.0002612505,0.0
93,-0.011056704,0.00034735678,0.0
94,-0.15317324,0.00083482376,0.0
95,0.036905117,0.00044569545,0.0
96,-0.06567295,0.0003632716,0.0
97,-0.12263654,0.00038566906,0.0
98,0.028357958,0.0007395315,0.0
99,0.21375088,0.0005937454,0.0
100,-0.14673029,0.0010998735,0.0
101,0.30037788,0.0013455744,0.0
102,-0.13335979,0.00035525006,0.0
103,-0.07056329,0.00029339158,0.0
104,-0.0819404,0.001088137,0.0
105,0.020745752,0.00029905888,0.0
106,0.051162552,0.0006034612,0.0
107,0.03269539,0.00083286077,0.0
108,0.03294778,0.001292285,0.0
109,-0.0012259342,0.0003496489,3.5536350132550586e-06
110,0.010509604,0.00070333725,7.107270026510117e-06
111,-0.13255607,0.00036013435,0.0
112,-0.20942079,0.00089247257,0.0
113,0.03725272,0.0003521723,0.0
114,0.13282315,0.00055934937,0.0
115,0.02841023,0.000696284,0.0
116,0.073048145,0.00062860263,0.0
117,0.24600543,0.0004481373,0.0
118,-0.101999864,0.0004842319,0.0
119,-0.020369668,0.0009828465,0.0
120,-0.035387024,0.00045585868,0.0
121,0.09073328,0.0004921293,0.0
122,-0.04255448,0.00083134347,0.0
123,0.3072947,0.0010840502,0.0
124,-0.07841248,0.00025781628,0.0
125,0.012856936,0.00071422954,3.5536350132550586e-06
126,0.03588929,0.0005830176,0.0
127,-0.06886657,0.0010223852,0.0
128,-0.28562865,0.00045154805,0.0
129,-0.03326666,0.00073539343,0.0
130,0.06303335,0.0005901951,0.0
131,0.033712782,0.00047003367,0.0
132,-0.06582862,0.00049526733,0.0
133,-0.055288445,0.00047282255,0.0
134,-0.017715925,0.00095019815,0.0
135,0.004477343,0.0006045073,0.0
136,-0.30653256,0.0007702734,0.0
137,0.08809027,0.0005784319,0.0
138,-0.06727682,0.00046260015,0.0
139,-0.22921522,0.00092217687,0.0
140,0.01148751,0.00042125702,0.0
141,-0.021324264,0.00042140385,0.0
142,0.02703725,0.00054900005,0.0
143,0.0008113342,0.0004804606,0.0
144,-0.058357168,0.00040714603,0.0
145,-0.10103654,0.00083720294,0.0
146,-0.031154525,0.0003215501,0.0
147,0.046990044,0.0012721606,0.0
148,-0.030722618,0.0010952288,0.0
149,0.093769684,0.000846834,0.0
